# rho, Re(G), Im(G)
  7.450901803607E-01  2.402693138613E-01  4.616181334600E-01
  7.476953907816E-01  2.412068232989E-01  4.463110577856E-01
  7.503006012024E-01  2.419918503806E-01  4.310188249662E-01
  7.529058116232E-01  2.425976703578E-01  4.157694119656E-01
  7.555110220441E-01  2.429998435738E-01  4.005925015099E-01
  7.581162324649E-01  2.431764904463E-01  3.855191168055E-01
  7.607214428858E-01  2.431085187055E-01  3.705812521818E-01
  7.633266533066E-01  2.427798061328E-01  3.558115014512E-01
  7.659318637275E-01  2.421773570673E-01  3.412426442760E-01
  7.685370741483E-01  2.412913790029E-01  3.269072999439E-01
  7.711422845691E-01  2.401153335262E-01  3.128375460326E-01
  7.737474949900E-01  2.386459494585E-01  2.990645366723E-01
  7.763527054108E-01  2.368831698852E-01  2.856181692252E-01
  7.789579158317E-01  2.348300631711E-01  2.725267745039E-01
  7.815631262525E-01  2.324927215349E-01  2.598167404848E-01
  7.841683366733E-01  2.298800570452E-01  2.475123517385E-01
  7.867735470942E-01  2.270036520117E-01  2.356353876130E-01
  7.893787575150E-01  2.238774994825E-01  2.242050266209E-01
  7.919839679359E-01  2.205177615201E-01  2.132376030334E-01
  7.945891783567E-01  2.169425038942E-01  2.027464454731E-01
  7.971943887776E-01  2.131713957515E-01  1.927417868603E-01
  7.997995991984E-01  2.092254143852E-01  1.832306477655E-01
  8.024048096192E-01  2.051265227527E-01  1.742169056131E-01
  8.050100200401E-01  2.008973844446E-01  1.657011130975E-01
  8.076152304609E-01  1.965610319747E-01  1.576806374170E-01
  8.102204408818E-01  1.921405645418E-01  1.501497548647E-01
  8.128256513026E-01  1.876588591509E-01  1.430997299543E-01
  8.154308617234E-01  1.831382926728E-01  1.365189312751E-01
  8.180360721443E-01  1.786004738884E-01  1.303928410000E-01
  8.206412825651E-01  1.740659985225E-01  1.247047378857E-01
  8.232464929860E-01  1.695542294563E-01  1.194352863582E-01
  8.258517034068E-01  1.650831037977E-01  1.145632497926E-01
  8.284569138277E-01  1.606689594700E-01  1.100655726827E-01
  8.310621242485E-01  1.563263962317E-01  1.059177039625E-01
  8.336673346693E-01  1.520681350468E-01  1.020936388070E-01
  8.362725450902E-01  1.479049940956E-01  9.856683325343E-02
  8.388777555110E-01  1.438457448421E-01  9.530975454730E-02
  8.414829659319E-01  1.398971498159E-01  9.229468811840E-02
  8.440881763527E-01  1.360639389027E-01  8.949393133208E-02
  8.466933867735E-01  1.323488244447E-01  8.688001999818E-02
  8.492985971944E-01  1.287525660307E-01  8.442604309299E-02
  8.519038076152E-01  1.252739820713E-01  8.210584019460E-02
  8.545090180361E-01  1.219101498908E-01  7.989444817046E-02
  8.571142284569E-01  1.186564421849E-01  7.776826299340E-02
  8.597194388778E-01  1.155066766453E-01  7.570516362367E-02
  8.623246492986E-01  1.124532685763E-01  7.368480656239E-02
  8.649298597194E-01  1.094873163127E-01  7.168867990149E-02
  8.675350701403E-01  1.065989746867E-01  6.970055028796E-02
  8.701402805611E-01  1.037772825904E-01  6.770595758899E-02
  8.727454909820E-01  1.010107518492E-01  6.569314460930E-02
  8.753507014028E-01  9.828723612819E-02  6.365238317144E-02
  8.779559118236E-01  9.559431440442E-02  6.157643682623E-02
  8.805611222445E-01  9.291943313109E-02  5.946041928506E-02
  8.831663326653E-01  9.024989810006E-02  5.730153639371E-02
  8.857715430862E-01  8.757364331273E-02  5.509983835471E-02
  8.883767535070E-01  8.487801589452E-02  5.285620988354E-02
  8.909819639279E-01  8.215254177066E-02  5.057571296399E-02
  8.935871743487E-01  7.938584810895E-02  4.826330164540E-02
